Example 5-20: Stink bug damage to soybean pods
 
  Stink bug       Plant        Pod     Shriveling
   species       number      number      rating
 ------------------------------------------------
  Untreated         8          24           1
  Untreated         8          25           1
  Untreated         8          26           1
  Untreated         8          27           1
  Untreated         8          28           1
  Untreated         8          29           1
  Untreated         8          30           1
  Untreated         8          31           1
  Untreated         8          32           1
  Untreated         8          33           1
  Untreated         8          34           1
  Untreated         8          35           1
  Untreated         9           1           1
  Untreated         9           2           1
  Untreated         9           3           1
  Untreated         9           4           1
  Untreated         9           5           1
  Untreated         9           6           1
  Untreated         9           7           1
  Untreated         9           8           1
  Untreated         9           9           1
  Untreated         9          10           1
  Untreated         9          11           3
  Untreated         9          12           1
  Untreated         9          13           1
  Untreated         9          14           1
  Untreated         9          15           1
  Untreated         9          16           1
  Untreated         9          17           1
  Untreated         9          18           1
  Untreated         9          19           3
  Untreated         9          20           4
  Untreated         9          21           1
  Untreated         9          22           5
  Untreated         9          23           1
  Untreated         9          24           1
  Untreated         9          25           2
  Untreated        10           1           1
  Untreated        10           2           1
  Untreated        10           3           1
  Untreated        10           4           2
  Untreated        10           5           1
  Untreated        10           6           1
  Untreated        10           7           1
  Untreated        10           8           1
  Untreated        10           9           1
  Untreated        10          10           1
  Untreated        10          11           1
  Untreated        10          12           1
  Untreated        10          13           1
  Untreated        10          14           1
  Untreated        10          15           1
  Untreated        10          16           1
  Untreated        10          17           1
  Untreated        10          18           1
  Untreated        10          19           5
  Untreated        10          20           1
  Untreated        10          21           1
  Untreated        10          22           1
  Untreated        10          23           1
  Untreated        10          24           1
  Untreated        10          25           1
  Untreated        10          26           1
  Untreated        10          27           1
  Untreated        10          28           1
  Untreated        10          29           1
  Untreated        10          30           1
  Untreated        10          31           1
  Untreated        10          32           1
  Untreated        10          33           4
  Untreated        10          34           1
  Untreated        10          35           1
  Untreated        10          36           1
  Untreated        10          37           1
  Redbanded         1           1           5
  Redbanded         1           2           1
  Redbanded         1           3           1
  Redbanded         1           4           1
  Redbanded         1           5           5
  Redbanded         1           6           1
  Redbanded         1           7           5
  Redbanded         1           8           5
  Redbanded         1           9           1
  Redbanded         1          10           2
  Redbanded         1          11           1
  Redbanded         1          12           1
  Redbanded         1          13           2
  Redbanded         1          14           1
  Redbanded         1          15           5
  Redbanded         1          16           5
  Redbanded         1          17           1
  Redbanded         1          18           5
  Redbanded         1          19           2
  Redbanded         1          20           1
  Redbanded         1          21           1
  Redbanded         1          22           2
  Redbanded         1          23           5
  Redbanded         1          24           2
  Redbanded         1          25           1
  Redbanded         1          26           2
  Redbanded         2           1           1
  Redbanded         2           2           5
  Redbanded         2           3           5
  Redbanded         2           4           2
  Redbanded         2           5           1
  Redbanded         2           6           1
  Redbanded         2           7           1
  Redbanded         2           8           5
  Redbanded         2           9           2
  Redbanded         2          10           5
  Redbanded         2          11           5
  Redbanded         2          12           1
  Redbanded         2          13           1
  Redbanded         2          14           5
  Redbanded         2          15           1
  Redbanded         2          16           1
  Redbanded         2          17           5
  Redbanded         2          18           1
  Redbanded         2          19           1
  Redbanded         2          20           1
  Redbanded         2          21           5
  Redbanded         2          22           1
  Redbanded         2          23           5
  Redbanded         2          24           5
  Redbanded         2          25           5
  Redbanded         2          26           5
  Redbanded         2          27           1
  Redbanded         2          28           1
  Redbanded         2          29           1
  Redbanded         2          30           1
  Redbanded         2          31           1
  Redbanded         3           1           3
  Redbanded         3           2           1
  Redbanded         3           3           1
  Redbanded         3           4           1
  Redbanded         3           5           1
  Redbanded         3           6           1
  Redbanded         3           7           1
  Redbanded         3           8           1
  Redbanded         3           9           5
  Redbanded         3          10           1
  Redbanded         3          11           1
  Redbanded         3          12           1
  Redbanded         3          13           1
  Redbanded         3          14           1
  Redbanded         3          15           1
  Redbanded         3          16           5
  Redbanded         3          17           1
  Redbanded         3          18           1
  Redbanded         3          19           2
  Redbanded         3          20           1
  Redbanded         3          21           3
  Redbanded         3          22           1
  Redbanded         3          23           1
  Redbanded         3          24           1
  Redbanded         3          25           1
  Redbanded         3          26           1
  Redbanded         3          27           2
  Redbanded         3          28           1
  Redbanded         3          29           1
  Redbanded         3          30           1
  Redbanded         3          31           1
  Redbanded         3          32           1
  Redbanded         3          33           1
  Redbanded         3          34           2
  Redbanded         3          35           5
  Redbanded         4           1           2
  Redbanded         4           2           3
  Redbanded         4           3           2
  Redbanded         4           4           2
  Redbanded         4           5           2
  Redbanded         4           6           5
  Redbanded         4           7           3
  Redbanded         4           8           2
  Redbanded         4           9           2
  Redbanded         4          10           3
  Redbanded         4          11           3
  Redbanded         4          12           4
  Redbanded         4          13           3
  Redbanded         4          14           5
  Redbanded         4          15           1
  Redbanded         4          16           5
  Redbanded         4          17           4
  Redbanded         4          18           5
  Redbanded         4          19           3
  Redbanded         4          20           3
